Study      Run             vconst_corr                vconst_2                vconst_3                vconst_4                 vconst_5                vconst_7                 ah_corr               ah_bolus                slm_corr       efficiency_factor           tidal_mix_max      vertical_decay_scale            convect_corr            bckgrnd_vdc1          bckgrnd_vdc_ban          bckgrnd_vdc_eq        bckgrnd_vdc_psim                 Prandtl   outcome
    1        1      0.8590362064372231      0.9278245357602525      0.2528656223672442       0.298838311199668       0.1705212998954166       0.735936040913738      0.4283254278810799     0.5679469417703027      0.4743695999935477      0.2456748547110086      0.1042258652974851        0.8690907029810155      0.9975184956319734      0.4486200774528293       0.3075217871189428      0.8583103652138057      0.7969972396308247      0.8698930381357464         0
    1        2      0.6060410252371287      0.4577283627625244      0.3594484227670667      0.3069573767716065       0.8433307671777179      0.9348506611513181      0.4445724883608314     0.8280149253395697       0.296617752717187      0.6168699015410514      0.9757855814040846        0.9143436669954098      0.8452471419276359      0.8641518680676301       0.3467126889826937      0.3565734170881721      0.4384471887114665      0.5122561439056882         1
    1        3      0.9975997770308621      0.3732384871005909      0.5173993555298593      0.5049925456690189       0.6189033359884182      0.6055708232180527      0.7462253300408419     0.1959282919790389      0.8156669351065324      0.6793550279741694      0.8034130759821791        0.6439951609962413      0.7184411332114703       0.924775074027841       0.3153714063448004       0.250642370688729      0.2856355271897175      0.3658579636572136         1
    1        4      0.7834078593063168      0.1040553139561477      0.1975326951075759      0.4218371592474998       0.7420556675966105      0.4908278824153564    0.005525436956021521     0.3921232672136588     0.01001489496427692      0.4714626999390829      0.5978789030832963        0.7616587520758105      0.3627505607476147      0.9128190944424003       0.9779711752522013      0.8459212272518521      0.6994309323594078       0.475986734584957         1
    1        5      0.4062495307854584      0.5131992969299771     0.06181157701002021      0.6358367185561089       0.8447975169867277       0.441502226525659      0.1919264511554502     0.4875461161201303      0.3585335812259776      0.5515432350816102      0.7438765191563612        0.3123494343301799      0.6502228327173118      0.5222610158289576      0.04354476482710905      0.3766601113511974      0.2800977588864044      0.1322828760745728         1
    1        6     0.04137946970553862      0.6290259378832869      0.3033801053391976      0.8134075716681157       0.2228171225055121      0.9712060327589925      0.6097782897944045     0.6478038592160577      0.7379138729560913      0.4409432071131758     0.03598236603946942        0.6158676668988645     0.01748718426743936      0.9323195147599714       0.3293180378567842      0.9541227757917822      0.1353789149964642      0.2948047955455776         1
    1        7      0.1610500675703709       0.548838498016509      0.1535834560946872      0.6544153967846392       0.1403462127536639      0.7966458873060118      0.4058396236440684     0.6626356250127881     0.04942668516499301      0.5785194938329773      0.2648546829004772        0.9592173730462997      0.6981068318179394      0.4673589494441532       0.6370776960057103     0.01125133065377466      0.1473251569498744      0.2138142472223586         1
    1        8      0.4152989863935445      0.8987313634302053       0.931821763206325      0.9166479389325508       0.3991056376589566    0.009445114781717874      0.8462574603333551     0.6837725402619172      0.3973064568799197       0.886768087244127      0.5224278472764935        0.6947735654823999      0.8865223179739486      0.4116728830785077       0.4811080538564259      0.9265463702341853     0.02643087041538416     0.09273955239138255         1
    1        9      0.1667578778022693      0.3529718557178664      0.9881206108774576      0.2870703172960525       0.5636256000505657      0.4027078751797995       0.380931733126959     0.4791912380580066     0.06016529398038984      0.2365244451366986      0.2904837083330171        0.3918330724441653      0.2549443022593753      0.4883995859055884      0.05368356508487422      0.8622256041012912      0.4150551393809211      0.4871258994616154         1
    1       10      0.6556260785320773      0.4139307171921246       0.805288477992225      0.1634858637608381       0.8619016950781871      0.9475945318001323      0.5465636756814396     0.4261410062472957      0.4170803090984312      0.9456095739267767         0.3253875090068        0.6665268083633338      0.3742700553525032      0.1002913507425951       0.2132902799756266      0.2228596709539286    0.007286212501478278      0.4200273619990589         1
    1       11      0.5900079766417751      0.2936924123515686      0.4234978443942964      0.3298034631246183       0.4578376998568678      0.8297822964209547      0.4977667353853273     0.1594403342292127      0.9711218647438929      0.4923425384072794     0.08426897241087217        0.9743339475205478      0.9264239087209313      0.2954259188030847       0.8042124523444929      0.8708400092540413      0.5462950225350344      0.8848710788258662         1
    1       12      0.8819290793824216      0.4249161571807539      0.9032223669579252      0.1733059139094419         0.79100537164292      0.4761835240681346      0.6811758406900077     0.9058438524966025       0.828415465574815     0.08371732902273329      0.5205666508396261       0.07291534579255515      0.9480946850510211      0.9996158905262645       0.7284591146705983      0.2858883555836251      0.2108896425795845      0.8335898681530832         1
    1       13      0.9610102615228647      0.9769068064193965         0.8579287729834      0.6149712274976386       0.6155159288254153      0.3527692043429448      0.8339600060458502    0.09509174928146724      0.2308925419981177      0.9548332776512124      0.5771817487729197        0.7835114301751471      0.5304246445393397      0.1751697639960589       0.5444582641810283        0.08139244056462      0.7330148834657546      0.5313688547441011         0
    1       14      0.1725295253680088     0.01355637412958054      0.6234465078644765      0.5191358593020899       0.2544563627129214      0.3669473464549002     0.05569564438062824     0.5185014502805038       0.371256628975324      0.8537835646744093      0.3470398548421346        0.9473467321846532      0.5972810318745259      0.4288064848890322       0.4013699816578689      0.8204455701103951      0.5995842862887204      0.1356806756643992         1
